City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Lagoa,PT,64.02,clear sky,39.05,-27.9833,Casa Das Faias
6,Port Elizabeth,ZA,63.32,clear sky,-33.918,25.5701,39 On Nile Guest House
8,Kaset Sombun,TH,76.19,overcast clouds,16.2805,101.9542,โรงแรมบุญเทวา
11,Ponta Do Sol,PT,70.43,overcast clouds,32.6667,-17.1,Hotel do Campo
12,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
13,Mecca,SA,78.98,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
26,Mar Del Plata,AR,76.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
31,Lata,PT,60.82,overcast clouds,40.1629,-8.3327,Terraços da Beira
32,Jieshi,CN,71.4,broken clouds,22.8134,115.8257,Yuehai Hotel
33,Ushirombo,TZ,65.48,overcast clouds,-3.4919,31.9639,Kigali Hotel
34,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
39,Bredasdorp,ZA,63.19,light rain,-34.5322,20.0403,Bredasdorp Country Manor
40,Yaan,NG,78.22,overcast clouds,7.3833,8.5667,None
42,Castro,BR,66.92,clear sky,-24.7911,-50.0119,CHACARA BAILLY
43,Itoman,JP,71.62,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
46,Plettenberg Bay,ZA,60.87,broken clouds,-34.0527,23.3716,Thanda Vista B&B
47,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
48,Lebu,CL,61.54,few clouds,-37.6167,-73.65,Hostal Las Lilas
49,Grabouw,ZA,60.48,light rain,-34.1515,19.0151,Belfield Wines and Farm Cottages
50,Rikitea,PF,74.82,overcast clouds,-23.1203,-134.9692,People ThankYou
54,Cape Town,ZA,64.11,light rain,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
56,Atuona,PF,77.65,clear sky,-9.8,-139.0333,Villa Enata
57,Necochea,AR,67.41,clear sky,-38.5473,-58.7368,dyd -mar Hotel
58,Ribeira Grande,PT,66.78,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
59,Arraial Do Cabo,BR,78.66,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
61,Namibe,AO,66.42,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
62,Aloleng,PH,79.25,clear sky,16.1307,119.7824,Aloleng
63,Ushuaia,AR,64.06,broken clouds,-54.8,-68.3,Albatross Hotel
66,Bria,CF,71.17,broken clouds,6.5423,21.9863,WFP Guesthouse
67,Carnarvon,AU,69.98,clear sky,-24.8667,113.6333,Hospitality Carnarvon
69,Itarema,BR,78.94,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
73,Aplahoue,BJ,75.65,overcast clouds,6.9333,1.6833,Hotel Immaculee
74,Sakakah,SA,67.57,heavy intensity rain,29.9697,40.2064,Fakhamat Al Orjoana Apartment
75,Loei,TH,62.49,broken clouds,17.4167,101.5,Ban Aloi Resort
84,Mahanje,TZ,67.37,few clouds,-9.9333,35.3333,Amani social Hall
85,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
