City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Waingapu,ID,-9.6567,120.2641,81.01,81,100,0.94,overcast clouds
1,Lagoa,PT,39.05,-27.9833,64.02,90,9,25.08,clear sky
2,Tasiilaq,GL,65.6145,-37.6368,32.16,64,15,6.6,few clouds
3,Busselton,AU,-33.65,115.3333,53.47,86,43,7.92,scattered clouds
4,Belen,TR,36.4891,36.2233,53.74,67,75,4.61,light rain
5,Bluff,NZ,-46.6,168.3333,58.8,67,100,3.24,overcast clouds
6,Port Elizabeth,ZA,-33.918,25.5701,63.32,79,0,11.5,clear sky
7,Qaanaaq,GL,77.484,-69.3632,-3.28,73,9,6.91,clear sky
8,Kaset Sombun,TH,16.2805,101.9542,76.19,76,86,1.99,overcast clouds
9,Leningradskiy,RU,69.3833,178.4167,6.24,92,100,3.56,overcast clouds
10,Chaman,PK,30.9236,66.4512,54.39,33,65,1.23,broken clouds
11,Ponta Do Sol,PT,32.6667,-17.1,70.43,72,100,4.34,overcast clouds
12,Bambous Virieux,MU,-20.3428,57.7575,71.85,60,40,8.05,scattered clouds
13,Mecca,SA,21.4267,39.8261,78.98,71,3,1.97,clear sky
14,Sistranda,NO,63.7256,8.834,42.76,55,0,26.6,clear sky
15,Hobart,AU,-42.8794,147.3294,46.26,75,75,14.97,broken clouds
16,Lisakovsk,KZ,52.5369,62.4936,18.79,89,100,12.06,overcast clouds
17,Igarka,RU,67.4667,86.5833,-22.49,92,18,7.67,few clouds
18,Khandyga,RU,62.6667,135.6,-38.22,100,100,1.3,overcast clouds
19,Longyearbyen,SJ,78.2186,15.6401,35.44,80,75,19.57,broken clouds
20,Port Hardy,CA,50.6996,-127.4199,42.98,81,75,4.61,broken clouds
21,Upernavik,GL,72.7868,-56.1549,18.86,90,100,9.95,light snow
22,Bathsheba,BB,13.2167,-59.5167,84.81,70,40,18.41,scattered clouds
23,Hithadhoo,MV,-0.6,73.0833,81.3,77,97,15.59,overcast clouds
24,Boundiali,CI,9.5217,-6.4869,80.35,43,100,1.07,overcast clouds
25,Cozumel,MX,20.5083,-86.9458,87.94,74,40,10.36,scattered clouds
26,Mar Del Plata,AR,-38.0023,-57.5575,76.82,35,0,13.8,clear sky
27,Talnakh,RU,69.4865,88.3972,-13.0,99,93,4.21,overcast clouds
28,Bad Lauterberg,DE,51.6327,10.4703,52.54,82,86,5.08,overcast clouds
29,Albany,US,42.6001,-73.9662,37.38,57,100,3.74,overcast clouds
30,Outjo,NA,-20.1167,16.15,74.68,24,40,6.46,scattered clouds
31,Lata,PT,40.1629,-8.3327,60.82,94,100,3.04,overcast clouds
32,Jieshi,CN,22.8134,115.8257,71.4,84,77,16.51,broken clouds
33,Ushirombo,TZ,-3.4919,31.9639,65.48,90,100,3.0,overcast clouds
34,Kapaa,US,22.0752,-159.319,79.12,63,40,12.66,scattered clouds
